method,total_time_s,total_requests,total_bytes,avg_latency_ms
beautifulsoup,32.60177249200024,21,4949135,668.5050572857455
api,5.124890107999818,41,33273,295.190245097529
selenium,49.30576047500017,128,735887,112.87533593748478
